# Tuned table for the FlyDSL K5 mfma16_hip kernel
# (chunk_gated_delta_rule_fwd_h_flydsl_mfma16_hip). Two consumers:
#
#   runtime  _tuned_bv() in linear_attention_prefill_kernels.py looks up BV on
#            (arch, H, Hg, V, is_varlen, use_h0, store_fs, snapshot_bf16,
#            state_bf16, total_chunks, max_seq_chunks). A miss falls back to
#            the _hipeq_select_bv CU/LDS rule, so partial coverage is fine.
#   build    aiter/aot/flydsl/chunk_gdn_h_mfma16_hip.py pre-compiles every
#            (arch, dtype, K, V, BT, H, Hg, is_varlen, use_h0, store_fs)
#            appearing here, fanned out over all legal BV x snapshot x state,
#            so no batch shape can hit the JIT.
#
# Adding a model means adding its rows here; no code change. Rows whose ``BV``
# is empty are AOT-only (shape gets pre-compiled, runtime keeps using the rule),
# which is the way to cover a new model before it has been tuned.
#
# Columns
#   model             free-form name, diagnostics only
#   arch              gfx target the measurement was taken on; BV does not
#                     transfer across arch (the rule reads CU count / LDS size)
#   K,V,BT            head dim / value dim / chunk size (kernel supports 128,128,64)
#   H,Hg              per-rank value- and key-head counts (already TP-sharded)
#   is_varlen         whether cu_seqlens was passed
#   use_h0            whether an initial state was passed
#   store_fs          whether the final state is written back
#   snapshot_bf16     per-chunk h snapshot dtype (False = fp32)
#   state_bf16        SSM state dtype (False = fp32)
#   T_flat,N          total tokens / number of sequences -- human-readable only
#   total_chunks      sum over sequences of ceil(seqlen/BT)   <- part of the key
#   max_seq_chunks    max over sequences of ceil(seqlen/BT)   <- part of the key
#   BV                measured best value tile; empty = AOT-only row
#   us                K5 device time at that BV, for regression tracking
#
# Measured with op_tests/op_benchmarks/triton/tune_gated_delta_rule_bv.py on
# MI300X (gfx942). The two families mirror the varlen-qwen3.5-397b-ptpc-ali
# (TP8) and varlen-qwen-ali-tp1 PrefillGroups in
# op_tests/flydsl_tests/test_flydsl_linear_attention_prefill.py: 8192-token
# segments, batched-token budget swept 8192..65536.
model,arch,dtype,K,V,BT,H,Hg,is_varlen,use_h0,store_fs,snapshot_bf16,state_bf16,T_flat,N,total_chunks,max_seq_chunks,BV,us
varlen-qwen3.5-397b-ptpc-ali-fp32snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,False,False,49152,6,768,128,64,980.5
varlen-qwen3.5-397b-ptpc-ali-fp32snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,False,False,57344,7,896,128,64,982.9
varlen-qwen3.5-397b-ptpc-ali-fp32snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,False,False,65536,8,1024,128,64,1002.7
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,8192,1,128,128,64,477.2
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,16384,2,256,128,64,947.1
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,24576,3,384,128,64,1404.5
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,32768,4,512,128,64,1891.7
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,40960,5,640,128,64,1905.5
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,49152,6,768,128,64,2368.8
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,57344,7,896,128,64,2824.8
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,65536,8,1024,128,64,3366.8
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,8192,1,128,128,64,512.6
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,16384,2,256,128,64,1016.0
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,24576,3,384,128,64,1516.1
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,32768,4,512,128,64,2016.2
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,40960,5,640,128,64,2050.1
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,49152,6,768,128,64,2543.5
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,57344,7,896,128,64,3048.2
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,65536,8,1024,128,64,3578.9
varlen-32k-aws,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,32768,33,524,16,64,1779.2
varlen-32k-aws,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,32768,7,518,79,64,1646.0
varlen-32k-aws,gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,32768,4,515,157,64,1754.8
Qwen3.5-35B,gfx942,torch.bfloat16,128,128,64,32,16,False,True,False,True,False,2500,1,40,40,64,155.7
Qwen3.5-35B,gfx942,torch.bfloat16,128,128,64,32,16,False,True,False,True,False,60000,1,938,938,64,3329.8
Qwen3.5-35B,gfx942,torch.bfloat16,128,128,64,32,16,False,True,False,True,False,128000,1,2000,2000,64,7096.0
Qwen3.5-35B,gfx942,torch.bfloat16,128,128,64,16,8,False,True,False,True,False,2500,1,40,40,64,144.3
Qwen3.5-35B,gfx942,torch.bfloat16,128,128,64,16,8,False,True,False,True,False,60000,1,938,938,32,2520.2
Qwen3.5-35B,gfx942,torch.bfloat16,128,128,64,16,8,False,True,False,True,False,128000,1,2000,2000,32,5336.3
varlen-32k-qwen,gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,32768,32,512,16,64,868.7
varlen-32k-qwen,gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,32768,16,512,32,64,882.3
varlen-32k-qwen,gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,32768,8,512,64,64,956.3
varlen-32k-qwen,gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,32768,4,512,128,64,954.6
varlen-32k-qwen,gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,32768,32,512,16,64,464.0
varlen-32k-qwen,gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,32768,16,512,32,64,487.2
varlen-32k-qwen,gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,32768,8,512,64,64,472.6
varlen-32k-qwen,gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,32768,4,512,128,64,465.6
Qwen3.5-397B,gfx942,torch.bfloat16,128,128,64,64,16,False,True,False,True,False,2500,1,40,40,64,289.1
Qwen3.5-397B,gfx942,torch.bfloat16,128,128,64,64,16,False,True,False,True,False,60000,1,938,938,64,6756.3
Qwen3.5-397B,gfx942,torch.bfloat16,128,128,64,64,16,False,True,False,True,False,128000,1,2000,2000,64,14341.5
Qwen3.5-397B,gfx942,torch.bfloat16,128,128,64,32,8,False,True,False,True,False,2500,1,40,40,64,153.2
Qwen3.5-397B,gfx942,torch.bfloat16,128,128,64,32,8,False,True,False,True,False,60000,1,938,938,64,3356.0
Qwen3.5-397B,gfx942,torch.bfloat16,128,128,64,32,8,False,True,False,True,False,128000,1,2000,2000,64,7175.7
